Borough,gtfs_stop_id,documented_station_names,documented_routes,total
Q,706,103 ST.-CORONA PLAZA,7,8
Q,A63,104 STREET,A,2
Q,A64,111 STREET,A,1
Q,J14,111 STREET,J,1
Q,705,111 st-Roosevelt Ave,7,22
Q,F02,169 STREET,F,148
Q,F01,179 ST.-JAMAICA,F,49
Q,B04,21 ST.-QUEENSBRIDGE,F,13
Q,F09,23 STREET-ELY AVENUE,"E,M",1
Q,R04,30 AVENUE,"N,Q",1
Q,716,33 STREET,7,3
Q,R08,39 AVENUE,"N,Q",1
Q,715,40 STREET,7,14
Q,719,45 ROAD-COURT HOUSE SQUARE,7,1
Q,714,46 STREET,7,42
Q,G16,46 STREET,"M,R",5
Q,G10,63 DRIVE-REGO PARK,"M,R",10
Q,G15,65 STREET,"M,R",4
Q,G09,67 AVENUE,"M,R",1
Q,711,69 STREET,7,9
Q,G08,71 AVE.-FOREST HILLS,"E,F,M,R",36
Q,710,74 ST.-BROADWAY,7,44
Q,F07,75 AVENUE,"E,F",3
Q,J17,75 ST.-ELDERTS LANE,"J,Z",19
Q,A59,80 STREET,A,36
Q,709,82 ST.-JACKSON HEIGHTS,7,12
Q,708,90 ST.-ELMHURST AVE.,7,9
Q,H02,AQUEDUCT-NORTH CONDUIT AVE.,A,1
Q,H01,AQUEDUCT-RACETRACK,A,5
Q,R03,ASTORIA BLVD.,"N,Q",1
Q,H10,BEACH 25 STREET,A,3
Q,H09,BEACH 36 STREET,A,4
Q,H07,BEACH 60 STREET,A,7
Q,H06,BEACH 67 STREET,A,4
Q,H12,BEACH 90 STREET,"A,S",3
Q,H13,BEACH 98 STREET,"A,S",4
Q,H04,BROAD CHANNEL,"A,S",2
Q,R05,BROADWAY,"N,Q",2
Q,R01,DITMARS BLVD.-ASTORIA,"N,Q",1
Q,G13,ELMHURST AVE.,"M,R",11
Q,H11,FAR ROCKAWAY-MOTT AVE.,A,193
Q,G12,GRAND AVE.-NEWTON,"M,R",8
Q,H03,HOWARD BEACH-JFK AIRPORT,A,3
Q,720,HUNTERS POINT AVENUE,7,7
Q,J23,JAMAICA-VAN WYCK,E,4
Q,707,JUNCTION BLVD.,7,15
Q,A65,LEFFERTS BLVD.,A,12
Q,701,MAIN ST.-FLUSHING,7,201
Q,G16,NORTHERN BLVD.,"M,R",13
Q,F03,PARSONS BLVD.,F,34
Q,G05,PARSONS/ARCHER-JAMAICA CENTER,"E,J,Z",235
Q,G21,QUEENS PLAZA,"E,M,R",5
Q,718,QUEENSBORO PLAZA,"N,Q,7",9
Q,A61,ROCKAWAY BLVD.,A,124
Q,H15,ROCKAWAY PARK-BEACH 116 ST.,"A,S",1
Q,G14,ROOSEVELT AVE.-JACKSON HEIGHTS,"E,F,M,R",242
Q,G19,STEINWAY ST.,"M,R",28
Q,F04,SUTPHIN BLVD.,F,11
Q,G06,SUTPHIN BLVD.-ARCHER AVE.,"E,J,Z",151
Q,F06,UNION TURNPIKE-KEW GARDENS,"E,F",211
Q,G07,VAN WYCK BLVD.-BRIARWOOD,"E,F",6
Q,721,VERNON BLVD.-JACKSON AVE.,7,5
Q,702,WILLETS POINT-SHEA STADIUM,7,15
Q,J15,WOODHAVEN BLVD.,"J,Z",6
Q,G11,WOODHAVEN BLVD.,"M,R",31
